NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
SOUTH OZONE PARK         ,03 THREE FAMILY HOMES   ,7," $	300,155.00 "," $	455,451.00 "," $	520,000.00 "," $	585,000.00 "
SPRINGFIELD GARDENS      ,01 ONE FAMILY HOMES     ,155," $	200,000.00 "," $	338,469.00 "," $	335,000.00 "," $	750,000.00 "
SPRINGFIELD GARDENS      ,02 TWO FAMILY HOMES     ,128," $	202,270.00 "," $	419,941.00 "," $	431,500.00 "," $	949,516.00 "
ST. ALBANS               ,01 ONE FAMILY HOMES     ,232," $	200,000.00 "," $	345,101.00 "," $	360,000.00 "," $	725,000.00 "
ST. ALBANS               ,02 TWO FAMILY HOMES     ,81," $	200,000.00 "," $	401,478.00 "," $	425,000.00 "," $	630,000.00 "
ST. ALBANS               ,03 THREE FAMILY HOMES   ,6," $	206,000.00 "," $	364,796.00 "," $	345,000.00 "," $	600,000.00 "
SUNNYSIDE                ,01 ONE FAMILY HOMES     ,22," $	247,500.00 "," $	895,443.00 "," $	747,500.00 "," $	4,350,000.00 "
SUNNYSIDE                ,02 TWO FAMILY HOMES     ,22," $	540,500.00 "," $	823,335.00 "," $	837,389.00 "," $	1,125,000.00 "
SUNNYSIDE                ,03 THREE FAMILY HOMES   ,6," $	750,000.00 "," $	894,500.00 "," $	879,000.00 "," $	1,150,000.00 "
WHITESTONE               ,01 ONE FAMILY HOMES     ,134," $	228,000.00 "," $	845,448.00 "," $	682,500.00 "," $	3,563,875.00 "
WHITESTONE               ,02 TWO FAMILY HOMES     ,59," $	200,000.00 "," $	856,689.00 "," $	880,000.00 "," $	1,476,462.00 "
WHITESTONE               ,03 THREE FAMILY HOMES   ,2," $	870,000.00 "," $	1,000,000.00 "," $	1,000,000.00 "," $	1,130,000.00 "
WOODHAVEN                ,01 ONE FAMILY HOMES     ,91," $	200,000.00 "," $	385,397.00 "," $	386,000.00 "," $	660,000.00 "
WOODHAVEN                ,02 TWO FAMILY HOMES     ,101," $	240,000.00 "," $	487,699.00 "," $	477,800.00 "," $	960,000.00 "
WOODHAVEN                ,03 THREE FAMILY HOMES   ,15," $	280,000.00 "," $	502,744.00 "," $	499,000.00 "," $	710,000.00 "
WOODSIDE                 ,01 ONE FAMILY HOMES     ,22," $	308,000.00 "," $	600,010.00 "," $	595,000.00 "," $	1,150,000.00 "
WOODSIDE                 ,02 TWO FAMILY HOMES     ,33," $	276,861.00 "," $	728,341.00 "," $	720,000.00 "," $	1,298,393.00 "
WOODSIDE                 ,03 THREE FAMILY HOMES   ,12," $	200,000.00 "," $	819,031.00 "," $	810,000.00 "," $	1,415,367.00 "
