NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
ST. ALBANS               ,01 ONE FAMILY HOMES                        , 	275 ,"$150,000","$361,105","$365,000","$832,000",,
ST. ALBANS               ,02 TWO FAMILY HOMES                        , 	112 ,"$200,000","$468,047","$463,500","$690,000",,
ST. ALBANS               ,03 THREE FAMILY HOMES                      , 	5 ,"$360,000","$510,400","$559,000","$600,000",,
SUNNYSIDE                ,01 ONE FAMILY HOMES                        , 	16 ,"$300,000","$526,720","$537,500","$730,000",,
SUNNYSIDE                ,02 TWO FAMILY HOMES                        , 	23 ,"$179,600","$597,330","$680,000","$925,000",,
SUNNYSIDE                ,03 THREE FAMILY HOMES                      , 	6 ,"$325,000","$628,750","$652,500","$950,000",,
WHITESTONE               ,01 ONE FAMILY HOMES                        , 	117 ,"$170,000","$665,541","$620,000","$3,200,000",,
WHITESTONE               ,02 TWO FAMILY HOMES                        , 	49 ,"$250,000","$745,353","$780,000","$1,288,086",,
WHITESTONE               ,03 THREE FAMILY HOMES                      , 	3 ,"$300,000","$660,000","$770,000","$910,000",,
WOODHAVEN                ,01 ONE FAMILY HOMES                        , 	82 ,"$220,500","$405,206","$385,625","$1,250,000",,
WOODHAVEN                ,02 TWO FAMILY HOMES                        , 	101 ,"$200,000","$500,715","$508,247","$723,500",,
WOODHAVEN                ,03 THREE FAMILY HOMES                      , 	21 ,"$217,500","$483,278","$500,000","$750,000",,
WOODSIDE                 ,01 ONE FAMILY HOMES                        , 	27 ,"$200,664","$512,454","$515,000","$900,000",,
WOODSIDE                 ,02 TWO FAMILY HOMES                        , 	33 ,"$200,000","$651,098","$633,356","$1,350,000",,
WOODSIDE                 ,03 THREE FAMILY HOMES                      , 	23 ,"$330,000","$770,708","$780,000","$1,250,000",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
