NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
South Beach,STATEN ISLAND,503702.6666666667,517691.3333333333,557623.1939814815,Condo_Elevator,510697.0,46926.19398148148,0.08415394927607672,0.02702124947040507,0.0716108316137838
St. George,STATEN ISLAND,null,null,null,Condo_Elevator,null,null,0.0,0.0,0.0
Stapleton,STATEN ISLAND,371284.3333333333,357207.3333333333,393344.93469785573,Condo_Elevator,364245.8333333333,29099.101364522416,0.073978584183052,-0.03940848545475924,0.09187254792611269
Sunnyside,STATEN ISLAND,666149.0,505556.5,616964.2857142857,Condo_Elevator,585852.75,31111.53571428568,0.050426801736613555,-0.3176549010842507,0.1805741244573082
Todt Hill,STATEN ISLAND,1310676.0,1567391.0,1344456.896551724,Condo_Elevator,1439033.5,-94576.60344827594,-0.0703455824361844,0.163784913911079,-0.1658172188487853
Tompkinsville,STATEN ISLAND,458442.0,430071.5,465227.61904761905,Condo_Elevator,444256.75,20970.869047619053,0.04507657797821447,-0.06596693805564889,0.07556756651633917
Tottenville,STATEN ISLAND,596984.0,629412.0,750949.8682653061,Condo_Elevator,613198.0,137751.8682653061,0.18343683658073323,0.051521102235101965,0.16184551512880418
West Brighton,STATEN ISLAND,414351.0,391691.6666666667,494979.14969330904,Condo_Elevator,403021.3333333334,91957.81635997567,0.18578119182788422,-0.057849924472905934,0.20867037145027154
Westerleigh,STATEN ISLAND,500356.0,530895.0,588358.7742594484,Condo_Elevator,515625.5,72733.2742594484,0.12362061626597792,0.0575236157808983,0.0976679141596495
Willowbrook,STATEN ISLAND,535409.5,579855.0,656606.1133633633,Condo_Elevator,557632.25,98973.86336336331,0.15073551913244457,0.07664933474747998,0.1168906469210553
Woodrow,STATEN ISLAND,522366.0,549051.5,606344.652236951,Condo_Elevator,535708.75,70635.90223695105,0.11649464042662575,0.04860290883459931,0.09448941625127368
Baychester,BRONX,402226.0,430495.0,479101.8986621655,Condo_Walkup,416360.5,62741.398662165506,0.13095627221967462,0.06566626790090477,0.1014541975264436
Belmont,BRONX,373175.6666666667,492301.0,528120.2861952862,Condo_Walkup,432738.3333333334,95381.95286195283,0.18060649317054045,0.24197662270304815,0.06782410585538667
Bronx Park,BRONX,null,560000.0,null,Condo_Walkup,null,null,0.0,0.0,0.0
Bronxdale,BRONX,408386.6666666667,443134.0,522524.8443917543,Condo_Walkup,425760.3333333334,96764.51105842093,0.18518643103192498,0.0784126998454944,0.15193697533017653
Castle Hill,BRONX,403046.6666666667,435112.6666666667,492032.4363127765,Condo_Walkup,419079.6666666667,72952.76964610984,0.1482682121382238,0.07369585501992587,0.11568296202717604
City Island,BRONX,433723.0,634442.6666666666,490374.0675675676,Condo_Walkup,534082.8333333333,-43708.76576576568,-0.08913351797450657,0.3163716395702685,-0.2937932664623383
Co-op City,BRONX,null,430000.0,330000.0,Condo_Walkup,null,null,0.0,0.0,-0.30303030303030304
Concourse,BRONX,447575.6666666667,396766.0,455764.95614035084,Condo_Walkup,422170.8333333334,33594.12280701747,0.0737093151950724,-0.12805952795014364,0.12945040057485765
Country Club,BRONX,540848.0,497987.3333333333,630216.6456934134,Condo_Walkup,519417.6666666666,110798.97902674682,0.1758109370545698,-0.08606778485664299,0.20981564556199742
Crotona Park,BRONX,367899.3333333333,399167.3333333333,460890.7470238095,Condo_Walkup,383533.3333333333,77357.41369047621,0.1678432778050108,0.07833306332682534,0.1339220066557066
Fieldston,BRONX,1403492.0,1195183.0,1095740.0,Condo_Walkup,1299337.5,-203597.5,-0.18580822092832242,-0.1742904643054662,-0.09075419351305966
