PCT,Name,Borough,2015,2016,2017,Avg,Diff,Variance,Variance_prediction
120,Park Hill,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Randall Manor,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Rosebank,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Shore Acres,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Silver Lake,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,St. George,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Stapleton,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Sunnyside,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,Tompkinsville,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
120,West Brighton,Staten Island,6772.200000000001,7105.299999999999,6884.4,6938.75,-54.350000000000364,-0.00789466039161007,0.046880497656678614
52,Bronx Park,Bronx,9567.1,9069.900000000001,9257.6,9318.5,-60.899999999999636,-0.006578378845489072,-0.054818685983307296
52,Fordham,Bronx,9567.1,9069.900000000001,9257.6,9318.5,-60.899999999999636,-0.006578378845489072,-0.054818685983307296
52,Norwood,Bronx,9567.1,9069.900000000001,9257.6,9318.5,-60.899999999999636,-0.006578378845489072,-0.054818685983307296
52,University Heights,Bronx,9567.1,9069.900000000001,9257.6,9318.5,-60.899999999999636,-0.006578378845489072,-0.054818685983307296
49,Allerton,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
49,Bronxdale,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
49,Eastchester,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
49,Morris Park,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
49,Pelham Gardens,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
49,Unionport,Bronx,5779.8,5882.2,5798.8,5831.0,-32.19999999999982,-0.005552873008208563,0.017408452619768054
