PCT,CRIME,2013,2014,2015,2016,2017,Weight
28,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),178,186,161,117,85,8
28,ADMINISTRATIVE CODE (6),6,5,4,9,1,8
28,FRAUDS (3),42,36,19,33,42,8
28,AGGRAVATED HARASSMENT 2,216,149,185,157,243,8
28,OTHER MISDEMEANORS (8),898,837,793,663,402,8
28,TOTAL MISDEMEANOR OFFENSES,5074,4579,3996,4235,3921,8
30,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,20,13,13,8,8,8
30,MISDEMEANOR SEX CRIMES (4),34,38,38,54,50,8
30,MISDEMEANOR DANGEROUS DRUGS  (1),948,734,738,855,141,8
30,MISDEMEANOR DANGEROUS WEAPONS (5),111,93,79,86,35,8
30,PETIT LARCENY,503,455,447,534,560,8
30,ASSAULT 3 AND RELATED OFFENSES,613,598,399,353,295,8
30,INTOXICATED & IMPAIRED DRIVING,120,104,74,70,61,8
30,VEHICLE AND TRAFFIC LAWS,157,83,97,71,42,8
30,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,309,365,423,453,444,8
30,CRIMINAL TRESPASS,119,98,101,67,27,8
30,UNAUTHORIZED USE OF A VEHICLE,9,5,11,10,3,8
30,OFFENSES AGAINST THE PERSON (7),23,21,16,13,5,8
30,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),138,145,118,110,97,8
30,ADMINISTRATIVE CODE (6),14,6,7,6,6,8
30,FRAUDS (3),39,45,46,43,34,8
30,AGGRAVATED HARASSMENT 2,206,175,134,153,150,8
30,OTHER MISDEMEANORS (8),726,607,700,464,350,8
30,TOTAL MISDEMEANOR OFFENSES,4089,3585,3441,3350,2308,8
32,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,19,13,9,13,10,8
32,MISDEMEANOR SEX CRIMES (4),52,62,57,79,101,8
32,MISDEMEANOR DANGEROUS DRUGS  (1),811,843,822,1010,481,8
32,MISDEMEANOR DANGEROUS WEAPONS (5),90,74,86,105,65,8
32,PETIT LARCENY,642,699,716,672,731,8
32,ASSAULT 3 AND RELATED OFFENSES,864,861,702,633,569,8
32,INTOXICATED & IMPAIRED DRIVING,56,41,37,46,48,8
32,VEHICLE AND TRAFFIC LAWS,42,56,57,49,43,8
32,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,422,503,520,633,672,8
32,CRIMINAL TRESPASS,228,300,249,231,116,8
32,UNAUTHORIZED USE OF A VEHICLE,21,18,9,17,16,8
32,OFFENSES AGAINST THE PERSON (7),21,23,12,20,14,8
32,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),246,205,252,264,187,8
32,ADMINISTRATIVE CODE (6),16,29,12,7,13,8
32,FRAUDS (3),57,51,68,69,53,8
32,AGGRAVATED HARASSMENT 2,428,311,298,333,287,8
32,OTHER MISDEMEANORS (8),738,526,642,539,422,8
32,TOTAL MISDEMEANOR OFFENSES,4753,4615,4548,4720,3828,8
33,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,17,21,6,5,12,8
33,MISDEMEANOR SEX CRIMES (4),34,35,40,38,46,8
33,MISDEMEANOR DANGEROUS DRUGS  (1),1703,1472,792,756,643,8
33,MISDEMEANOR DANGEROUS WEAPONS (5),82,55,68,50,32,8
33,PETIT LARCENY,564,654,643,768,725,8
33,ASSAULT 3 AND RELATED OFFENSES,459,494,405,407,373,8
33,INTOXICATED & IMPAIRED DRIVING,89,65,83,92,97,8
33,VEHICLE AND TRAFFIC LAWS,38,42,41,38,33,8
33,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,401,399,366,409,432,8
33,CRIMINAL TRESPASS,162,140,128,140,97,8
33,UNAUTHORIZED USE OF A VEHICLE,11,19,10,7,9,8
33,OFFENSES AGAINST THE PERSON (7),14,19,10,16,9,8
33,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),119,93,87,71,77,8
33,ADMINISTRATIVE CODE (6),7,5,8,5,4,8
33,FRAUDS (3),29,29,38,50,46,8
33,AGGRAVATED HARASSMENT 2,247,135,106,131,121,8
33,OTHER MISDEMEANORS (8),505,461,572,402,363,8
33,TOTAL MISDEMEANOR OFFENSES,4481,4138,3403,3385,3119,8
34,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,23,13,6,10,19,8
