Neighborhood,BUILDING_CLASS_CATEGORY,BOROUGH,PCT,Variance_housing,Variance_crime,Variance_school,Variance_prediction_housing,Variance_prediction_crime,Variance_prediction_school,Variance_test_housing,score,rank,score_prediction,rank_predicted,rank_testing,MIN_SALE_PRICE_2017_2018,MAX_SALE_PRICE_2017_2018,price,NUMBER_OF_SALES
East Village,Coop_Walkup,MANHATTAN,9,-0.6389571428571429,-0.1020739932953673,0.007013292208269182,0.45176918301800223,2.381868484215874E-4,0.0140265844165382,-1.1172,-0.18105207962978578,6.038967739769022,0.16153058542106669,97.7598712629258,0.0,145000.0,2300000.0,790670.3125,32
Gerritsen Beach,Three_Family,BROOKLYN,61,-0.030227013481870808,0.012301951550465047,0.021602882029264425,-0.07984187346225594,-0.0915909571096556,0.10438627943109838,0.009321788711869668,-0.010099514831524693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Morrisania,Coop_Walkup,BRONX,42,0.31470106100448736,-0.015245502374961339,0.014866421679320027,0.10524219427664565,0.056364151575259584,0.027557400013008635,0.2766369011116028,0.1199601777213851,83.25599480539417,0.021178457369974295,67.43448414219809,82.00509991660321,110000.0,140000.0,125000.0,3
Rosedale,Condo_Elevator,QUEENS,105,0.09028119128894961,-0.053001226290391966,0.020618556701030855,-0.012324107692885281,-0.0514101331016721,0.04123711340206171,0.09585259627581938,0.057953546642546865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Whitestone,One_Family,QUEENS,109,0.10776212096580187,0.008321016039853312,-0.002932551319648083,0.10467651268570063,0.00572466560246606,0.02312138728323691,0.05848486022983651,0.033655198092177305,61.11665069173546,0.04012726001981802,71.52868480598566,69.17032714279232,126838.0,5500000.0,965130.754491018,167
Jamaica Hills,Condo_Walkup,QUEENS,103,0.19008047338409337,-0.2441680086279495,0.028460543337645576,0.09619070441584976,-0.1401270648030497,0.04427083333333341,0.14915897459425198,0.17131050497002387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Morris Park,Coop_Elevator,BRONX,49,0.0995637325104423,-0.005552873008208563,-0.05434782608695653,0.12368436843684369,0.017408452619768054,-0.020833333333333447,0.04020810535015869,0.023481499060199095,58.50684735541052,0.031117814571654703,69.5820458433105,68.09503123918698,115000.0,245000.0,167787.85714285713,14
Soundview,Condo_Elevator,BRONX,43,0.08308250116763968,-0.08168790457191696,0.007125890736341976,0.07300686864681147,-0.02424646445407365,0.037558685446009425,0.048343780874324914,0.06353550992152616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Bedford-Stuyvesant,Coop_Elevator,BROOKLYN,79,0.0,-0.02290855815192461,0.017655437888970164,0.10448492269088723,-0.010588012856872782,-0.0022391565599237,0.0,0.013577282733012386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Eltingville,Coop_Walkup,STATEN ISLAND,122,0.10460351755835272,-0.04834150701809471,-0.021978021978022098,0.11016797593403749,0.008673106486473918,0.062499999999999965,0.05240627628353234,0.05045332845815582,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Longwood,Condo_Walkup,BRONX,41,0.31470106100448736,-0.15905770288988824,0.030263974414053266,0.10524219427664565,0.007973519436472678,0.045695045695045705,0.2766369011116028,0.1813344461110392,99.0,0.04506912164599833,72.59645534136672,82.00509991660321,125000.0,260000.0,169073.14285714287,7
Lower East Side,Condo_Walkup,MANHATTAN,7,0.0,-0.002726294990120216,-0.02336887279554758,0.0,0.018975144537233934,0.040759997432441214,0.0,-0.004751700202838809,51.26433925681231,0.00259994154321673,63.420290040560424,65.72942469363818,378447.0,1655000.0,1052111.75,4
Ozone Park,Condo_Elevator,QUEENS,106,0.13792288642215808,-0.05380434782608689,0.015695067264573936,0.018812730084140614,-0.011593833609376956,0.02696629213483119,0.12973687377422513,0.07371851619433356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Unionport,Three_Family,BRONX,49,0.1482682121382238,-0.005552873008208563,-0.06629834254143642,0.07369585501992587,0.017408452619768054,-0.020942408376963276,0.11568296202717604,0.037540437816302646,62.11330997589289,0.013594566114826012,65.79585962408495,72.53552435430974,289000.0,775000.0,565630.9523809524,21
Westchester Square,One_Family,BRONX,43,-0.08633553655254145,-0.08168790457191696,-4.237846022187697E-4,0.3573099482825451,-0.02424646445407365,0.05167467948717966,-0.32262995738820344,0.00235177788482259,53.08655561631131,0.14767573755231514,94.76630336372207,46.74779070862242,280000.0,575000.0,424994.44444444444,18
Dongan Hills,One_Family,STATEN ISLAND,122,0.18556981969460445,-0.04834150701809471,0.025,0.2561500638520773,0.008673106486473918,0.010204081632653206,0.065940063507493,0.09053603970034944,75.7079817047105,0.08873430016180077,82.0310357825365,69.60894710556933,250000.0,1164000.0,614602.6578947369,38
East Harlem,Condo_Elevator,MANHATTAN,23,-0.5066003121014288,-0.06519871475454918,-0.033572809899221734,-0.8074417663293467,0.00881672769319709,-0.01916357575719546,-0.0732905167762517,-0.1596238258084858,11.535840424784185,-0.29092220323184903,0.0,61.41744518844443,405528.0,1360000.0,707114.5681818182,44
East Village,Two_Family,MANHATTAN,9,-0.6389571428571429,-0.1020739932953673,0.007013292208269182,0.45176918301800223,2.381868484215874E-4,0.0140265844165382,-1.1172,-0.18105207962978578,6.038967739769022,0.16153058542106669,97.7598712629258,0.0,3000000.0,4000000.0,3500000.0,2
Marine Park,Condo_Walkup,BROOKLYN,63,0.22192581609135023,-0.08564491113879623,-0.028947368421052482,0.20768447805251086,-0.014840155715465292,0.015228426395939123,0.13176650608570076,0.10469515798222795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Morrisania,Two_Family,BRONX,42,0.31470106100448736,-0.015245502374961339,0.014866421679320027,0.10524219427664565,0.056364151575259584,0.027557400013008635,0.2766369011116028,0.1199601777213851,83.25599480539417,0.021178457369974295,67.43448414219809,82.00509991660321,150000.0,703101.0,414900.1153846154,52
Oakwood,Condo_Elevator,STATEN ISLAND,122,0.06572713127536912,-0.04834150701809471,-0.03191489361702116,0.15389442850350607,0.008673106486473918,0.02040816326530623,-0.012155407740077043,0.03436237534936179,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Richmond Hill,One_Family,QUEENS,102,0.12723594507406774,-0.10371017749755511,0.03339692489382483,0.06187033428527523,-0.01849491009418701,0.07644852210069594,0.09937495889462808,0.09436588299840196,76.69043044684867,0.04816471156269512,73.26530848876381,71.5760581317852,105000.0,1060000.0,486387.6875,192
Rosebank,One_Family,STATEN ISLAND,120,0.20300325351246942,-0.00789466039161007,-0.028846153846153744,0.06903726672703152,0.046880497656678614,0.054545454545454515,0.1745084120431194,0.06699746442446988,69.6697598058481,0.01904720792815321,66.97399262510095,75.99646508729607,155000.0,970000.0,497191.4166666667,60
Rossville,Three_Family,STATEN ISLAND,123,0.15403802708339814,-0.08360121338343847,0.08333333333333323,0.08226553377254091,-0.05428951547143899,0.08695652173913032,0.11774858530778076,0.10818712816589804,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
SoHo,Three_Family,MANHATTAN,1,0.4957060822308536,-0.0014599872251117802,-0.009900990099009865,-0.17378869572762087,0.07452762329163672,-0.01980198019801973,0.5360230561873018,0.171605876146091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Country Club,Three_Family,BRONX,45,0.1758109370545698,-0.04420403652649316,-0.0744680851063829,-0.08606778485664299,-0.011165048543689354,-0.019999999999999928,0.20981564556199742,0.06059842130310096,68.02824829317773,-0.030657705282349283,56.23442810377106,78.07373338905028,445000.0,925000.0,757500.0,6
East Elmhurst,Condo_Elevator,QUEENS,115,0.17558779078855433,0.014988707138457326,-0.04071901422297958,0.1250959633108648,0.0029971693400676386,0.03480924533556099,0.12058196784592486,0.045280490364866186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Flatlands,Coop_Walkup,BROOKLYN,63,0.1540410219303845,-0.08564491113879623,-0.02077151335311565,-0.06876005285588356,-0.014840155715465292,0.005797101449275342,0.18215843649747074,0.08297944379287414,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Kips Bay,Condo_Walkup,MANHATTAN,13,0.0,-0.06703331144409284,0.012820512820512945,0.0,-0.08380938501894483,0.03821656050955417,0.375,0.030018452782765374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Pelham Gardens,Coop_Elevator,BRONX,49,0.09887051506975328,-0.005552873008208563,-0.025749754178957817,0.008069340436215967,0.017408452619768054,0.06615687637585445,0.09522002625574681,0.03038839093295761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Riverdale,One_Family,BRONX,50,0.011051583876176876,-0.04602577018929939,0.022222222222222143,0.10568501505432015,0.01853200411822307,0.07860262008733632,-0.04412246535882376,0.0278339179879372,59.6233495639967,0.049227608643556894,73.49496489578952,63.13352041141435,170000.0,3650000.0,1052347.775510204,49
Dyker Heights,One_Family,BROOKLYN,68,0.10714317711001096,0.005630113061862303,-0.012500000000000122,0.024293282890324137,0.047910134662666755,0.030395136778115554,0.09616461273545938,0.03212306676375889,60.72362142676252,-0.0030626206589243667,62.1968002847612,71.38718039627715,200000.0,3380000.0,1000379.85,80
Eltingville,Two_Family,STATEN ISLAND,122,0.10460351755835272,-0.04834150701809471,-0.021978021978022098,0.11016797593403749,0.008673106486473918,0.062499999999999965,0.05240627628353234,0.05045332845815582,65.42578314546283,0.05071454898232354,73.8162428274081,68.81269930020142,318000.0,931800.0,668223.6666666666,48
Jamaica,Coop_Walkup,QUEENS,103,0.06081708314267923,-0.2441680086279495,0.03265807243707796,0.10280954790610856,-0.1401270648030497,0.008090001264062346,0.009922366180197432,0.12711770066038702,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,null
Kensington,Coop_Elevator,BROOKLYN,66,0.21125104263497718,-0.09430724152365001,0.02870660629281354,-0.006620258750140555,-0.03806974689465205,0.07849554981337914,0.21385328995301858,0.11883741310490539,82.96797814274413,0.03253469564865641,69.88818631841943,78.3112844478932,185000.0,1025000.0,512179.57627118647,59
Prospect Heights,Condo_Walkup,BROOKLYN,77,-0.15660491531052814,-0.06301534286608913,-0.04724241257310672,0.13637081204341583,-0.03261375731772225,-0.006955161406253159,-0.24123932248422464,-0.04141618635552587,41.85899927327671,0.05903649679072115,75.61433661046982,51.53633314300164,229691.0,1676000.0,590570.3333333334,18
Throgs Neck,Condo_Walkup,BRONX,45,0.07256819931360226,-0.04420403652649316,-0.028301886792452897,0.05681627578520308,-0.011165048543689354,0.01818181818181812,0.04545124670478084,0.036005012672244825,61.71943576641962,0.02889717048775135,69.10223914257271,68.40350659259438,193975.0,367000.0,305469.44444444444,9
Williamsburg,Condo_Walkup,BROOKLYN,90,-0.0073153070053886635,-0.030720220276305978,0.0028540668267605317,0.11878514882126594,-0.02937561067860176,0.011913888269402519,-0.07092000296959554,0.010441247365326494,55.161702951902654,0.056303518426234406,75.02383165663353,61.55691216726634,396637.0,1700000.0,865754.4545454546,22
