DBN,Weight_2015,Weight_2016,Weight_2017,Variance,Latitude,Longitude,Coordinates
12X267,2.7,2.7,2.65,-0.018867924528301987,40.826933,-73.900593,"[40.826933,-73.900593]"
06M005,2.65,2.45,2.55,0.0,40.857633,-73.922277,"[40.857633,-73.922277]"
04M610,2.4,2.7,2.55,0.0,40.792932,-73.947171,"[40.792932,-73.947171]"
84K357,1.8,2.0625,2.0625,0.06363636363636369,40.67229,-73.937601,"[40.67229,-73.937601]"
02M303,2.75,2.65,2.75,0.01818181818181812,40.765474,-73.9927,"[40.765474,-73.9927]"
84K774,2.1666666666666665,2.5,1.9,-0.2280701754385964,40.677112,-73.884211,"[40.677112,-73.884211]"
12X372,2.0,2.2,2.1,0.0,40.843781,-73.884192,"[40.843781,-73.884192]"
06M178,2.8421052631578947,2.8,2.9,0.02722323049001816,40.85924,-73.928301,"[40.85924,-73.928301]"
01M539,2.15,2.15,2.1,-0.023809523809523725,40.719416,-73.979581,"[40.719416,-73.979581]"
29Q327,2.0,1.9,1.95,0.0,40.69172,-73.778924,"[40.69172,-73.778924]"
84K793,1.8333333333333333,2.125,2.125,0.06862745098039223,40.693748,-73.90892,"[40.693748,-73.90892]"
17K340,2.3,2.4,2.45,0.04081632653061246,40.676357,-73.970315,"[40.676357,-73.970315]"
17K543,2.6,2.65,2.65,0.00943396226415091,40.649602,-73.957173,"[40.649602,-73.957173]"
84K536,2.111111111111111,2.5384615384615383,2.3333333333333335,0.00366300366300384,40.695339,-73.977674,"[40.695339,-73.977674]"
09X327,2.5,2.65,2.6,0.009615384615384581,40.842503,-73.916084,"[40.842503,-73.916084]"
17K191,2.45,2.8,2.8,0.06249999999999994,40.67173,-73.924127,"[40.67173,-73.924127]"
31R051,2.35,2.45,2.25,-0.06666666666666682,40.623077,-74.145522,"[40.623077,-74.145522]"
15K024,2.15,2.15,2.1,-0.023809523809523725,40.652832,-74.004533,"[40.652832,-74.004533]"
27Q334,1.8461538461538463,2.3157894736842106,2.526315789473684,0.1762820512820511,40.693013,-73.829409,"[40.693013,-73.829409]"
26Q098,2.6,2.45,2.25,-0.12222222222222238,40.768906,-73.749998,"[40.768906,-73.749998]"
28Q896,2.1,2.3,2.3,0.043478260869565064,40.708409,-73.804166,"[40.708409,-73.804166]"
20K179,2.4,2.5,2.55,0.039215686274509665,40.640127,-73.97726,"[40.640127,-73.97726]"
84K360,1.9444444444444444,2.4375,2.4375,0.1011396011396011,40.675675,-73.935093,"[40.675675,-73.935093]"
32K554,2.4,2.75,2.8,0.08035714285714274,40.697378,-73.913172,"[40.697378,-73.913172]"
03M860,2.15,2.35,2.3,0.021739130434782532,40.80261,-73.954152,"[40.80261,-73.954152]"
07X224,2.55,2.8,2.35,-0.13829787234042543,40.810314,-73.918774,"[40.810314,-73.918774]"
22K207,2.5,2.5,2.45,-0.020408163265306048,40.613981,-73.930485,"[40.613981,-73.930485]"
31R006,2.25,2.5,2.5,0.05,40.510207,-74.230118,"[40.510207,-74.230118]"
12X242,2.75,2.65,2.6,-0.03846153846153849,40.832508,-73.878191,"[40.832508,-73.878191]"
84M726,2.2222222222222223,2.5625,2.5,0.043055555555555534,40.810793,-73.955722,"[40.810793,-73.955722]"
31R455,2.1,2.25,2.05,-0.06097560975609757,40.528152,-74.193431,"[40.528152,-74.193431]"
31R001,2.5,2.6,2.55,0.0,40.508638,-74.24395,"[40.508638,-74.24395]"
23K697,2.2,2.35,2.35,0.03191489361702116,40.665568,-73.912102,"[40.665568,-73.912102]"
03M860,2.2,2.25,2.25,0.011111111111111072,40.80261,-73.954152,"[40.80261,-73.954152]"
22K234,2.4,2.5,2.5,0.019999999999999928,40.604447,-73.955217,"[40.604447,-73.955217]"
28Q157,2.3,2.6842105263157894,2.736842105263158,0.089423076923077,40.732348,-73.852879,"[40.732348,-73.852879]"
84K782,1.8888888888888888,2.0,2.25,0.1358024691358025,40.694676,-73.937717,"[40.694676,-73.937717]"
05M362,2.5,2.55,2.5,-0.009999999999999964,40.810793,-73.955722,"[40.810793,-73.955722]"
21K239,2.25,2.45,2.4,0.02083333333333326,40.57864,-73.992447,"[40.57864,-73.992447]"
22K193,2.3,2.05,2.3,0.05434782608695653,40.62208,-73.950321,"[40.62208,-73.950321]"
05M286,2.2,2.4,2.0,-0.1499999999999999,40.815747,-73.95552,"[40.815747,-73.95552]"
24Q264,2.5,2.45,2.6,0.04807692307692307,40.744175,-73.937004,"[40.744175,-73.937004]"
17K382,2.2,2.1,2.1,-0.023809523809523937,40.649602,-73.957173,"[40.649602,-73.957173]"
27Q262,2.75,2.5,2.5,-0.05,40.586012,-73.825317,"[40.586012,-73.825317]"
84X730,2.0,2.125,2.3333333333333335,0.11607142857142863,40.821815,-73.886477,"[40.821815,-73.886477]"
84M430,2.5,2.6875,2.75,0.056818181818181816,40.856532,-73.92606,"[40.856532,-73.92606]"
21K226,2.65,2.75,2.6,-0.03846153846153849,40.615405,-73.977099,"[40.615405,-73.977099]"
30Q502,2.2,2.25,2.3,0.0326086956521738,40.748502,-73.946488,"[40.748502,-73.946488]"
01M292,2.25,2.5384615384615383,2.55,0.061085972850678696,40.713362,-73.986051,"[40.713362,-73.986051]"
31R074,2.6,2.6,2.75,0.054545454545454515,40.638993,-74.079438,"[40.638993,-74.079438]"
84K724,2.4444444444444446,2.5625,2.3125,-0.08258258258258262,40.644134,-73.892797,"[40.644134,-73.892797]"
09X525,2.2,2.35,2.45,0.07142857142857136,40.84325,-73.902969,"[40.84325,-73.902969]"
11X076,2.35,2.45,2.3,-0.04347826086956545,40.869059,-73.860928,"[40.869059,-73.860928]"
28Q680,2.1,2.3,2.25,0.022222222222222143,40.718027,-73.805923,"[40.718027,-73.805923]"
12X248,2.45,2.15,2.05,-0.12195121951219513,40.827539,-73.896925,"[40.827539,-73.896925]"
02M059,2.5,2.55,2.7,0.06481481481481491,40.759248,-73.967204,"[40.759248,-73.967204]"
84M523,2.3529411764705883,2.6923076923076925,1.5714285714285714,-0.6053064582476347,40.786134,-73.974483,"[40.786134,-73.974483]"
15K443,2.65,2.55,2.6,1.7080354225002407E-16,40.660805,-73.988743,"[40.660805,-73.988743]"
23K644,2.25,2.5,2.7,0.12037037037037043,40.678124,-73.915106,"[40.678124,-73.915106]"
28Q310,1.9,2.3,2.35,0.10638297872340444,40.714551,-73.798658,"[40.714551,-73.798658]"
08X125,2.3,2.25,2.0,-0.13749999999999996,40.829153,-73.857882,"[40.829153,-73.857882]"
09X128,2.55,2.8,2.6,-0.028846153846153744,40.83447,-73.900654,"[40.83447,-73.900654]"
04M497,2.4,2.05,1.75,-0.27142857142857124,40.793649,-73.948488,"[40.793649,-73.948488]"
18K589,2.2,2.25,2.1538461538461537,-0.033035714285714377,40.659088,-73.928744,"[40.659088,-73.928744]"
84X482,2.1666666666666665,2.3333333333333335,2.75,0.18181818181818182,40.826933,-73.900593,"[40.826933,-73.900593]"
25Q281,2.45,2.6,2.5,-0.010000000000000142,40.74943,-73.821402,"[40.74943,-73.821402]"
11X462,2.4,2.5,2.4,-0.020833333333333447,40.882778,-73.830616,"[40.882778,-73.830616]"
03M859,2.4,2.473684210526316,2.55,0.04437564499484005,40.775256,-73.982976,"[40.775256,-73.982976]"
05M157,2.1538461538461537,2.4210526315789473,2.1,-0.08926161557740497,40.807019,-73.938714,"[40.807019,-73.938714]"
04M096,2.25,2.05,2.25,0.04444444444444448,40.79969,-73.937179,"[40.79969,-73.937179]"
84K710,2.066666666666667,1.9375,2.375,0.15701754385964917,40.668768,-73.90514,"[40.668768,-73.90514]"
